"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_bhkaz",0.6343,1.3793,0.5179,0.3646,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,5.0068
"basis_bhkqa",0.5767,1.2517,0.4667,0.3176,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.2131
"basis_bhkqx",0.5767,1.2517,0.4667,0.3202,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.2958
"basis_bhkqz",0.5767,1.2517,0.4667,0.328,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.5436
"basis_bhkra",0.6041,1.3125,0.4911,0.3345,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.418
"basis_bhkrx",0.6041,1.3125,0.4911,0.3372,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.5047
"basis_bhkrz",0.6041,1.3125,0.4911,0.3454,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.7642
"basis_bhksa",0.5516,1.1961,0.4445,0.3021,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,4.0258
"basis_bhksx",0.5516,1.1961,0.4445,0.3046,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,4.1048
"basis_bhksz",0.5516,1.1961,0.4445,0.3121,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.3422
"basis_bhlaa",0.6343,1.3793,0.6166,0.384,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.7733
"basis_bhlax",0.6343,1.3793,0.6166,0.3868,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.864
"basis_bhlaz",0.6343,1.3793,0.6166,0.3955,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,5.1364
"basis_bhlqa",0.5767,1.2517,0.5557,0.3452,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.3297
"basis_bhlqx",0.5767,1.2517,0.5557,0.3478,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.4124
